Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
NSC,Norfolk Southern Corp,248.71,0.68,0.27%,248.12,245.6,36289,09:46 ET
NTAP,Netapp Inc,105.32,0.4,0.38%,105.72,105.22,20468,09:46 ET
NTRS,Northern Trust Corp,86.07,0.22,0.26%,86.2,85.72,5610,09:45 ET
NUE,Nucor Corp,195.39,-0.09,-0.05%,196.807,195.5,19119,09:46 ET
NVDA,Nvidia Corp,954.33,4.31,0.45%,959,954.47,1699719,09:46 ET
NVR,NVR Inc,7979.88,72.83,0.92%,7920.0498,7920.0498,164,09:44 ET
NWS,News Corp Cl B,27.01,0.11,0.41%,27.16,26.79,6706,09:46 ET
NWSA,News Corp Cl A,26.14,0.11,0.42%,26.155,26.05,21281,09:46 ET
NXPI,Nxp Semiconductors,242.4,2.06,0.86%,242.3,241.91,16127,09:46 ET
O,Realty Income Corp,52.32,0.15,0.29%,52.42,52.25,211178,09:46 ET
ODFL,Old Dominion Freight Line Inc,437.85,2.82,0.65%,437.85,436.425,3485,09:45 ET
OKE,Oneok Inc,79.06,-0.26,-0.33%,79.27,79.19,34925,09:46 ET
OMC,Omnicom Group Inc,93.2,-0.17,-0.18%,93.61,93.46,7757,09:46 ET
ON,On Semiconductor,73.88,0.34,0.46%,74.16,73.57,66148,09:46 ET
ORCL,Oracle Corp,126.75,0.67,0.53%,126.8,126.5,211646,09:46 ET
ORLY,O'Reilly Automotive,1130.57,-6.5,-0.57%,1131.48,1123.86,8236,09:45 ET
OTIS,Otis Worldwide Corp,99.09,0.05,0.05%,99.23,99,19038,09:44 ET
OXY,Occidental Petroleum Corp,64.29,-0.26,-0.40%,64.6671,64.57,80622,09:45 ET
PANW,Palo Alto Networks Inc,284.92,-0.15,-0.05%,285.97,285.4,77844,09:46 ET
PARA,Paramount Global Cl B,11.47,0.02,0.17%,11.63,11.52,265216,09:46 ET
PAYC,Paycom Software Inc,191.73,0.47,0.25%,192.27,192.27,2366,09:45 ET
PAYX,Paychex Inc,119.08,0.12,0.10%,118.75,118.4,25223,09:46 ET
PCAR,Paccar Inc,123.25,-0.14,-0.11%,123.04,122.3872,45219,09:46 ET
PCG,Pacific Gas & Electric Company,16.5,0.09,0.55%,16.425,16.395,79736,09:45 ET
PEG,Public Service Enterprise Group Inc,66.03,0.71,1.09%,65.505,65.38,21720,09:45 ET
PEP,Pepsico Inc,172.21,-0.39,-0.23%,172.5,172.16,85826,09:45 ET
PFE,Pfizer Inc,27.34,-0.09,-0.33%,27.55,27.4,1682771,09:46 ET
PFG,Principal Financial Group Inc,84.55,0.07,0.08%,84.57,84.49,11865,09:45 ET
PG,Procter & Gamble Company,160.55,0.36,0.22%,160.36,160.285,2458,09:46 ET
PGR,Progressive Corp,206.81,0.79,0.38%,206.185,205.4,17270,09:45 ET
PH,Parker-Hannifin Corp,553.31,2.78,0.50%,550.8,549.86,6684,09:44 ET
PHM,Pultegroup,116.09,0.4,0.35%,116.07,115.83,13791,09:45 ET
PKG,Packaging Corp of America,187.42,0.11,0.06%,187.33,187.32,3842,09:45 ET
PLD,Prologis Inc,125.56,-1.57,-1.23%,126.52,125.475,71556,09:45 ET
PM,Philip Morris International Inc,91.41,0.26,0.29%,91.37,91.2,240250,09:46 ET
PNC,PNC Bank,155.88,0.84,0.54%,155.78,155.06,11517,09:46 ET
PNR,Pentair Ltd,83.19,0.47,0.57%,82.73,82.73,7113,09:44 ET
PNW,Pinnacle West Capital Corp,72.69,0.1,0.14%,72.52,72.495,3779,09:43 ET
PODD,Insulet Corp,164.55,-0.2,-0.12%,167.07,166.44,8636,09:45 ET
POOL,Pool Corp,411.75,3.58,0.88%,411.39,409.32,2943,09:45 ET
PPG,PPG Industries,141.52,0.37,0.26%,141.23,141.12,6310,09:46 ET
PPL,PPL Corp,27.03,-0.03,-0.11%,27.08,27.03,33914,09:46 ET
PRU,Prudential Financial Inc,115.65,0.02,0.02%,115.57,115.39,22108,09:46 ET
PSA,Public Storage,275.58,-0.2,-0.07%,276.19,275.47,10148,09:45 ET
PSX,Phillips 66,156.77,0.31,0.20%,157.11,155.885,66716,09:45 ET
PTC,Ptc Inc,189.76,1.1,0.58%,189.5,189.39,3591,09:45 ET
